Position,TeamName,Played,W,D,L,G scored,G conceded,GD,Points,LastMatch1,LastMatch2
1,Juventus,2,2,0,0,6,0,6,6,V,V
2,Inter,2,1,1,0,4,2,2,4,V,N
3,Torino,2,1,1,0,4,3,1,4,V,N
4,Genoa,2,1,1,0,3,2,1,4,V,N
5,Udinese,2,1,1,0,3,2,1,4,V,N
6,Parma,2,1,1,0,3,2,1,4,V,N
7,Empoli,2,1,1,0,2,1,1,4,V,N
8,Atalanta,2,1,0,1,5,2,3,3,P,V
9,Lazio,2,1,0,1,4,3,1,3,P,V
10,Napoli,2,1,0,1,3,3,0,3,V,P
11,Verona,2,1,0,1,3,3,0,3,P,V
12,Fiorentina,2,0,2,0,1,1,0,2,N,N
13,Cagliari,2,0,2,0,1,1,0,2,N,N
14,Milan,2,0,1,1,3,4,-1,1,P,N
15,Roma,2,0,1,1,1,2,-1,1,P,N
16,Monza,2,0,1,1,0,1,-1,1,P,N
17,Venezia,2,0,1,1,1,3,-2,1,N,P
18,Bologna,2,0,1,1,1,4,-3,1,P,N
19,Como,2,0,1,1,1,4,-3,1,N,P
20,Lecce,2,0,0,2,0,6,-6,0,P,P
